8644 records from preverb1.txt
DBG: ni-svaj. PreverbSandhi=>nizvaj, ScharfSandhi=>nisvaj
DBG: pari-svaj. PreverbSandhi=>parizvaj, ScharfSandhi=>parisvaj
DBG: aBipari-svaj. PreverbSandhi=>aBiparizvaj, ScharfSandhi=>aBiparisvaj
DBG: saMpari-svaj. PreverbSandhi=>saMparizvaj, ScharfSandhi=>saMparisvaj
DBG: vi-svaj. PreverbSandhi=>vizvaj, ScharfSandhi=>visvaj
DBG: prati-svad. PreverbSandhi=>pratizvad, ScharfSandhi=>pratisvad
DBG: aDi-svan. PreverbSandhi=>aDizvan, ScharfSandhi=>aDisvan
DBG: anu-svan. PreverbSandhi=>anuzvan, ScharfSandhi=>anusvan
DBG: ni-svan. PreverbSandhi=>nizvan, ScharfSandhi=>nisvan
DBG: nis-svan. PreverbSandhi=>niHsvan, ScharfSandhi=>nissvan
DBG: pari-svan. PreverbSandhi=>parizvan, ScharfSandhi=>parisvan
DBG: prati-svan. PreverbSandhi=>pratizvan, ScharfSandhi=>pratisvan
DBG: vi-svan. PreverbSandhi=>vizvan, ScharfSandhi=>visvan
DBG: anu-svap. PreverbSandhi=>anuzvap, ScharfSandhi=>anusvap
DBG: ni-svap. PreverbSandhi=>nizvap, ScharfSandhi=>nisvap
DBG: nis-svap. PreverbSandhi=>niHsvap, ScharfSandhi=>nissvap
DBG: prati-svap. PreverbSandhi=>pratizvap, ScharfSandhi=>pratisvap
DBG: vi-svap. PreverbSandhi=>vizvap, ScharfSandhi=>visvap
DBG: ati-svar. PreverbSandhi=>atizvar, ScharfSandhi=>atisvar
DBG: anu-svar. PreverbSandhi=>anuzvar, ScharfSandhi=>anusvar
DBG: samanu-svar. PreverbSandhi=>samanuzvar, ScharfSandhi=>samanusvar
DBG: aBi-svar. PreverbSandhi=>aBizvar, ScharfSandhi=>aBisvar
DBG: ni-svar. PreverbSandhi=>nizvar, ScharfSandhi=>nisvar
DBG: nis-svar. PreverbSandhi=>niHsvar, ScharfSandhi=>nissvar
DBG: pari-svar. PreverbSandhi=>parizvar, ScharfSandhi=>parisvar
DBG: prati-svar. PreverbSandhi=>pratizvar, ScharfSandhi=>pratisvar
DBG: pari-svid. PreverbSandhi=>parizvid, ScharfSandhi=>parisvid
DBG: anu-sTA. PreverbSandhi=>anuzWA, ScharfSandhi=>anusTA
DBG: aBi-sTA. PreverbSandhi=>aBizWA, ScharfSandhi=>aBisTA
DBG: ni-sparh. PreverbSandhi=>nizparh, ScharfSandhi=>nisparh
8644 records written to preverb1a.txt
2310 prefixed verbs required sandhi adjustments
