122736 records from ../../../pwg/pywork/pwghw2.txt
1149416 records read from ../../../pwg/orig/pwg.txt
1209 filtered
ADJUST 231: 84780:riB:779677:vi, °ribDa => vi
ADJUST 232: 84875:ruc:780904:prati, pratyarocata => prati
ADJUST 233: 85044:ruD:783401:atisam, praharzeRAtisaMrudDA => atisam
ADJUST 234: 85643:lakzay:790788:ati, anatilakzitaH => ati
ADJUST 235: 85876:laNG:793282:sam, saMlaNGitA rAtriH => sam
ADJUST 236: 85998:laB:794993:pra, prAlamBi, pralamBam => pra
ADJUST 237: 88842:vaS:830680:samA, samAvaSet => samA
ADJUST 238: 88916:vas:831521:aDi, aDyuzite => aDi
ADJUST 239: 88919:vas:831970:aDi, aDyUzivaMs => aDi
ADJUST 240: 88922:vas:832527:ni, nivAsita => ni
ADJUST 241: 89283:vA:837044:upa, °vAya => upa
ADJUST 242: 89283:vA:837049:nis, niruta => nis
ADJUST 243: 90581:vAsay:848196:aBi, °vAsita => aBi
ADJUST 244: 93715:viz:880530:nis, nirvizan => nis
ADJUST 245: 93715:viz:880532:pari, °vevizARi, °avevizam => pari
ADJUST 246: 95476:vel:896775:ud, udvelant => ud
ADJUST 247: 96222:vyac:903757:ud, udvicitA => ud
ADJUST 248: 96463:vyA:906915:aDi, °vIta => aDi
ADJUST 249: 96463:vyA:906944:ud, udvIta => ud
ADJUST 250: 96463:vyA:906966:pari (°vyAya => pari
ADJUST 251: 113619:star:1071582:pari, °staritavE => pari
ADJUST 252: 113932:sTA:1076818:upa, °sTeyam => upa
ADJUST 253: 113932:sTA:1077152:ni, nyazWat, nitazWO => ni
ADJUST 254: 113932:sTA:1077210:pari, °tazWO, °zWAsyati => pari
ADJUST 255: 116553:has:1108338:ati, °hasita => ati
ADJUST 256: 116890:hi:1112173:pra, prahiRomi => pra
ADJUST 257: 117246:hu:1115789:apa, °huta => apa
ADJUST 258: 118661:as:1126136:vyatyanu, °zate => vyatyanu
ADJUST 259: 118911:i:1127538:ava, avEhi => ava
ADJUST 260: 119333:kar:1129934:vi, vi/kfta => vi
ADJUST 261: 119335:kar:1129963:vi, vikIrRa => vi
ADJUST 262: 119363:karz:1130142:prati, apratikfzwa => prati
ADJUST 263: 119638:kram:1131703:nis, nizkrAnta => nis
ADJUST 264: 119673:kzud:1131918:vi, strIvAkyANkuSavikzuRRa => vi
ADJUST 265: 119710:Kid:1132130:pari, kasya na pariKidyate cetaH => pari
ADJUST 266: 119746:gam:1132343:upA, upAgata => upA
ADJUST 267: 119746:gam:1132349:upa, upagata => upa
ADJUST 268: 119782:gAh:1132568:prati, amitravAhinI vIrAH pratigAhanti => prati
ADJUST 269: 119945:ci:1133559:vinis, viniScitam => vinis
ADJUST 270: 120230:dar:1135141:vi, vidadre dAqimIPalam => vi
ADJUST 271: 120246:dA:1135240:vyA, vyAdadate pipIlikAH pataMgasya muKam => vyA
ADJUST 272: 120482:nam:1136569:ava, Siro'vanatalANgUla => ava
ADJUST 273: 121606:miz:1142918:ni, nimizita => ni
ADJUST 274: 122472:saYj:1147922:ud, utsakta => ud
8644 records written to preverb1.txt
